x,y,z,vll_gwc,vll_gsc,fll_gsc,nn_gsc,nn_gwc,m
20071,47378,48814,0,0,0,0,0,50
18956,47153,48565,0,0,0,0,0,50
19924,48121,49544,0,0,0,0,0,50
19688,47788,48886,0,0,0,0,0,50
19607,48204,48873,0,0,0,0,0,50
19678,48441,48756,0,0,0,0,0,50
19821,48213,48632,0,0,0,0,0,50
19122,47986,48915,0,0,0,0,0,50
18582,49254,49754,0,0,0,0,0,50
20157,47877,49079,0,0,0,0,0,50
19665,48605,48687,0,0,0,0,0,50
19759,48125,48716,0,0,0,0,0,50
20116,47121,49347,0,0,0,0,0,50
20119,47002,48732,0,0,0,0,0,50
19060,46928,48823,0,0,0,0,0,50
19650,48973,49196,0,0,0,0,0,50
19210,47300,49193,0,0,0,0,0,50
20155,47929,49204,0,0,0,0,0,50
19751,47553,48920,0,0,0,0,0,50
19980,48671,49391,0,0,0,0,0,50
19802,48691,48368,0,0,0,0,0,50
19928,47950,48840,0,0,0,0,0,50
19929,47689,49063,0,0,0,0,0,50
20110,47293,48949,0,0,0,0,0,50
20773,48329,49031,0,0,0,0,0,50
19644,47875,48838,0,0,0,0,0,50
19776,47404,49046,0,0,0,0,0,50
19378,46481,48382,0,0,0,0,0,50
19862,47635,48860,0,0,0,0,0,50
19667,47269,49140,0,0,0,0,0,50
20231,48415,49255,0,0,0,0,0,50
20227,48440,48802,0,0,0,0,0,50
20012,48196,49472,0,0,0,0,0,50
19957,48969,48500,0,0,0,0,0,50
19859,48971,48057,0,0,0,0,0,50
20876,48676,49583,0,0,0,0,0,50
20645,48337,49348,0,0,0,0,0,50
19766,47840,48967,0,0,0,0,0,50
20707,48125,48631,0,0,0,0,0,50
18587,47182,49190,0,0,0,0,0,50
20034,47011,48918,0,0,0,0,0,50
19811,48140,49859,0,0,0,0,0,50
19269,46887,48589,0,0,0,0,0,50
19857,48476,48362,0,0,0,0,0,50
19454,47522,49092,0,0,0,0,0,50
20420,48021,49256,0,0,0,0,0,50
19815,47435,49615,0,0,0,0,0,50
19698,48213,48624,0,0,0,0,0,50
20192,48613,48506,0,0,0,0,0,50
21118,48319,49393,0,0,0,0,0,50
19687,47518,48906,0,0,0,0,0,50
19531,47566,49405,0,0,0,0,0,50
19757,47536,48927,0,0,0,0,0,50
19686,48008,48801,0,0,0,0,0,50
19607,47462,48693,0,0,0,0,0,50
19952,47602,49414,0,0,0,0,0,50
20731,48500,49039,0,0,0,0,0,50
19526,46764,48532,0,0,0,0,0,50
20025,47704,48825,0,0,0,0,0,50
19502,48021,48664,0,0,0,0,0,50
19716,48963,48537,0,0,0,0,0,50
19602,48622,48613,0,0,0,0,0,50
19281,47232,48627,0,0,0,0,0,50
19579,48353,48764,0,0,0,0,0,50
19127,48082,49092,0,0,0,0,0,50
20121,48093,48703,0,0,0,0,0,50
19365,48197,48747,0,0,0,0,0,50
19606,48412,48919,0,0,0,0,0,50
18907,47951,49293,0,0,0,0,0,50
20266,48816,48901,0,0,0,0,0,50
19297,46804,48850,0,0,0,0,0,50
19744,47993,49028,0,0,0,0,0,50
20128,48062,49200,0,0,0,0,0,50
19400,47321,49574,0,0,0,0,0,50
19148,48751,49422,0,0,0,0,0,50
20108,48376,48397,0,0,0,0,0,50
19671,48195,49093,0,0,0,0,0,50
18608,49235,49821,0,0,0,0,0,50
19283,47032,48707,0,0,0,0,0,50
20736,47430,48957,0,0,0,0,0,50
20148,48290,49533,0,0,0,0,0,50
19831,47809,48859,0,0,0,0,0,50
20063,46825,48712,0,0,0,0,0,50
18673,48038,49549,0,0,0,0,0,50
20143,48835,48257,0,0,0,0,0,50
20149,48152,49604,0,0,0,0,0,50
19532,47924,49127,0,0,0,0,0,50
19473,48011,49110,0,0,0,0,0,50
